asin,category,query,name,product_category,instruction_text,attributes,goal_options,weight
B07D5GQJZG,garden,pendants and chandeliers,"Ranger Dust Bronze Linear Pendant Chandelier Lighting 36 3/4"" Wide Rustic Farmhouse Clear Glass Cylinders 5-Light Fixture for Kitchen Island Dining Room House High Ceilings - Franklin Iron Works",Tools & Home Improvement › Lighting & Ceiling Fans › Ceiling Lights › Island Lights,i need chandelier light fixture for dining room which should have bronze finish and glass shades,"['bronze finish', 'glass shade', 'light fixture', 'dining room']",[],1
B07PP7JXBM,beauty,skin care tools,"Foot Peel Mask - 5 Pack of Tea Tree Foot Mask - Removes Calluses,Dead and Dry Skin - Repairs Rough Heels, Foot Peeling Mask for Women and Men","Beauty & Personal Care › Foot, Hand & Nail Care › Foot & Hand Care › Foot Masks",i am looking for a lavender scented foot peel mask suitable for dry skin which removes dead skin and fine lines,"['dead skin', 'fine lines', 'dry skin']",['lavender'],1
B001EWEP40,beauty,deodorants & antiperspirants,"Mitchum Anti-Perspirant & Deodorant for Women, Power Gel, Powder Fresh, 3.4 oz (96 g) (Pack of 4)",Beauty & Personal Care › Personal Care › Deodorants & Antiperspirants › Antiperspirant Deodorant,i am looking for a powder fresh mitchum anti-perspirant,['anti perspirant'],['powder fresh'],1
B07MFPHSNH,garden,bases,Chengu 3 Pieces Stainless Steel Wall Plate Base Wall Mounted Base for Home Kitchen Spice Jars Supplies,Home & Kitchen › Kitchen & Dining › Kitchen Utensils & Gadgets › Seasoning & Spice Tools › Spice Racks,"i'm looking for a three piece, wall mounted, stainless steel spice rack","['wall mounted', 'stainless steel']",[],1
B0842NKZ44,garden,home office furniture sets,"Meet Perfect Office Chair, Mid Back Mesh Lumbar Support Home Office Computer Desk Chair Swivel Task Chair, Ergonomic Executive Chair on Rolling Wheels Height Adjustable for Men Women Back Pain-Blue",Home & Kitchen › Furniture › Home Office Furniture › Home Office Chairs › Home Office Desk Chairs,"i need a heavy duty, height adjustable office chair in pink color","['height adjustable', 'heavy duty']",['pink'],1
B083X4GW6Y,grocery,eggs & egg substitutes,"Bob's Red Mill Gluten Free Muffin Mix, 16 Oz",Grocery & Gourmet Food › Pantry Staples › Cooking & Baking › Baking Mixes › Muffins,"i want to find a 1-pound box of gluten free muffin mix, and it should come in a pack of three",['gluten free'],['1 pound (pack of 3)'],1
B09G74B6LD,fashion,"women's coats, jackets & vests",Womens Fleece Sherpa Coats Plus Size Plush jacket Coat Pockets Button Fuzzy Sweatshirts Windproof Outerwear Overcoat,"Clothing, Shoes & Jewelry › Women › Clothing › Coats, Jackets & Vests › Active & Performance › Fleece",i need a fleece jacket for the winter that is warm and gray,['winter warm'],['#a2 gray'],1
B09QX7NSN4,electronics,xbox,"External Hard Drive HDD USB3.0 2TB External Hard Drive for PC, Mac, Desktop, Laptop, MacBook, Chromebook, Xbox One, Xbox 360 (2TB, Silver)",Electronics › Computers & Accessories › Data Storage › External Hard Drives,"i want buy an external hard drive hdd 0.2tb which for pc, mac, desktop, laptop, macbook, chromebook, xbox one, xbox 360 (2tb, silver). it is covered with aluminum alloy. also, i choose the b-red color","['plug play', 'aluminum alloy']",['b-red'],1
B00KL19J4Q,grocery,party mix,"Annie's Organic Bunny Grahams Snack, Chocolate Chip, Chocolate & Honey, 1.25 Oz, 100 Count",Grocery & Gourmet Food › Snacks & Sweets › Snack Foods › Party Mix,i would like a 100 count friends bunny grahams party mix with simple ingredients,['simple ingredients'],"['friends bunny grahams', '100 count (pack of 1)']",1
B09F2CMB4T,electronics,remotes,Topping E50 ES9068AS DAC MQA XMOS XU216 USB DAC USB/Coax/Toslink Inputs RCA/TRS Outputs Decoder Ultra Low Noise Preamp Hi-Res Audio DAC with Remote Control (Blue),Industrial & Scientific › Industrial Electrical › Semiconductor Products › Signal Components › Signal Converters,i would like a silver signal converter with a usb port,['usb port'],['silver'],1
B08GHSLSQR,beauty,eyes care,bareMinerals Skinlongevity Long Life Herb Eye Treatment Unisex 0.5 oz,Beauty & Personal Care › Skin Care › Eyes › Creams,i need some eye cream for treating fine lines,['fine lines'],[],1
B01GS3NXSI,garden,area rugs,"SAFAVIEH Madison Collection MAD603D Oriental Snowflake Medallion Distressed Non-Shedding Living Room Bedroom Dining Home Office Area Rug, 8' x 10', Cream / Navy","Home & Kitchen › Home Décor Products › Rugs, Pads & Protectors › Area Rugs",i am interested in a round area rug that is turquoise and ivory and 6 ft by 7 ft long,['living room'],"['turquoise  |  ivory', 'round', '6 ft 7 in x 6 ft 7 in']",1
B01IDDRDRI,grocery,non-dairy milks,"Walden Farms Sweet Cream Coffee Creamer, 12 oz. Bottle, Fresh Flavored Non-Dairy Milk Substitute, Natural and Organic Liquid, Gluten Free and Low Carb, Vegan Friendly, 3 Pack Bottles","Grocery & Gourmet Food › Beverages › Coffee, Tea & Cocoa › Non-Dairy Coffee Creamers",i am looking for a pack of 6 12 ounce gluten free coffee creamer,['gluten free'],['12 ounce (pack of 6)'],1
B075L8H2H5,garden,mattresses,"Spinal Solution 10-Inch Medium Plush Pillowtop Innerspring 8"" Wood Box Spring for Mattress, Queen, Beige",Home & Kitchen › Furniture › Bedroom Furniture › Mattresses & Box Springs › Mattress & Box Spring Sets,"i need a california king mattress set that has a 4"" foundation",['king size'],"['california king', '4"" foundation']",1
B07NQJD1NN,grocery,frozen,"SOLELY Organic Pineapple with Coconut Fruit Jerky, 0.8 Ounce | Two Ingredients | Vegan | Non-GMO | Gluten-Free | No Sugar Added…",Grocery & Gourmet Food › Snacks & Sweets › Snack Foods › Fruit Snacks,i am looking for banana pecan fruit snacks that are gluten free,['gluten free'],['banana pecan'],1
B06XNP64KD,grocery,food & beverage gifts,"Tea Drops Sweetened Organic Loose Leaf Tea Bundle - Hot or Iced Tea - Citrus Ginger Tea, Rose Earl Grey Tea & Sweet Peppermint Tea - Gift Set Assortment - 30 Servings","Grocery & Gourmet Food › Beverages › Coffee, Tea & Cocoa › Tea › Tea Samplers",i want to buy a ten count tea sampler that's certified organic,['certified organic'],['10 count (pack of 3)'],1
B07JVLYV5Z,garden,throw blankets,Allgala 60x45 Super Soft Flannel Plush Light Weight Throw Blanket-Chocolate-BLK82301,Home & Kitchen › Bedding › Blankets & Throws › Throws,"i need a red allgala 60x45 super soft, machine wash flannel plush light weight throw blanket","['super soft', 'machine washable']","['red', '45x60']",1
B07Z1KJ1NS,fashion,men's t-shirts,Disney Mulan Warrior Stance Sunset Poster T-Shirt,"Clothing, Shoes & Jewelry › Novelty & More › Clothing › Novelty › Women › Tops & Tees › T-Shirts",i am looking for small sized women t-shirt. it should be machine washable,['machine wash'],"['women', 'x-small']",1
B08CN7FPM7,beauty,eyes makeup,Allover print Makeup Bag Cosmetic Bag Organizer Makeup Pouch Toiletry Pouch Clutch Cosmetic Pouch for Unisex Adult Teens Children (Evil Eye),Beauty & Personal Care › Tools & Accessories › Bags & Cases › Cosmetic Bags,my sister use avocado color eyebrow,['eye shadow'],['avocado-1'],1
B09PYMQ217,garden,drafting tables,"Huidiea Height Adjustable Multifunctional Children's Study Desk Table Chair Set with Drawer,Bookstand,Portable Tilted 0-60° Table Top",Home & Kitchen › Furniture › Kids' Furniture › Tables & Chairs › Table & Chair Sets,i am looking for height adjustable blue color children's study desk table chair set with drawer and bookstand,['height adjustable'],['blue-4'],1
B011V56KTC,fashion,men's sandals,PUMA Unisex Epic v2 Flip Flops,"Clothing, Shoes & Jewelry › Women › Shoes › Sandals",i'm looking for a unisex flip flops in the brand of puma,['ethylene vinyl'],['puma black-high rise'],1
B098B8M9P7,fashion,men's underwear,Ice Silk Underwear String For Men Low Rise T-Back Strech Bikinis Briefs Bugle Pouch Briefs G-String Underwears,"Clothing, Shoes & Jewelry › Men › Clothing › Underwear › Briefs",i am looking for a medium size low rise underwear string for men,['low rise'],['medium'],1
B074MK42SN,garden,decorative pillows,"Ambesonne Octopus Throw Pillow Cushion Cover, Octopus Pattern Illustration Underwater World Wild Nature Themed Artwork Print, Decorative Square Accent Pillow Case, 16"" X 16"", Orange White","Home & Kitchen › Bedding › Decorative Pillows, Inserts & Covers › Throw Pillow Covers","i need a 26"" x 16"" and blue grey octopus pillow cover that is machine washable",['machine washable'],"['blue grey', '26"" x 16""']",1
B07WJWBDZ3,electronics,pc,"Dell Optiplex 9020 Micro PC with Intel i5-4570T, 16GB RAM, 500GB SSD, 24in Display, Keyboard and Gel pad (Renewed)",Electronics › Computers & Accessories › Computers & Tablets › Desktops › Towers,i need a refurbished pc that is an i5 and has 8gb of ram,['certified refurbished'],"['1) i5, 8gb, 256gb ssd']",1
B081ZW6KT2,fashion,men's t-shirts,Disney 101 Dalmatians Group Shot Title Logo T-Shirt,"Clothing, Shoes & Jewelry › Novelty & More › Clothing › Novelty › Women › Tops & Tees › T-Shirts",i am looking for a men's baby blue classic fit shirt,['classic fit'],"['baby blue', 'men']",1
B07ZGVV9Z6,fashion,men's athletic shoes,adidas Men's Grand Court SE Sneaker,"Clothing, Shoes & Jewelry › Men › Shoes › Athletic › Tennis & Racquet Sports",looking for grand court adidas for everyday wear size 9 in white,['everyday wear'],"['white | white | white', '9']",1
B08ZJBSLN7,electronics,mac,"Lapac Compatible with MacBook Air 13 Inch Case Faces Sketch 2021 2020 2019 2018 A2179 A1932 A2337 M1,Art Print Hard Shell Cover for Mac Air 13 Touch ID with Keyboard Cover, Abstract Colorful Painting","Electronics › Computers & Accessories › Laptop Accessories › Bags, Cases & Sleeves › Hard Shell Cases",i am interested in buying a laptop carrying case with colorful faces,['carrying case'],['colorful faces'],1
B08RXX825P,fashion,men's boots,Dunham Cloud Plus Waterproof Lace-Up,"Clothing, Shoes & Jewelry › Women › Shoes › Athletic › Walking",buy a pair of size nine waterproof lace-up walking shoes. they should be made out of vinyl acetate ,['vinyl acetate'],['9 wide'],1
B09PBX2LND,fashion,women's oxfords,Auimank Women's Fashion Casual Flat Mesh Breathable Mesh Lace Up Single Shoes Kids Barefoot Quick-Dry Aqua Socks for Beach,Sports & Outdoors › Fan Shop › Footwear › Slippers,i am looking for a pair of women's size 10.5 light blue shoes with memory foam,['memory foam'],"['light blue', '10.5']",1
B07F5M8YPD,beauty,toothpaste,GOWO 2 Pack Miswak Sticks and Holders - Natural Teeth Whitening Kit - Natural Toothbrush - No Toothpaste Needed - Herbal Teeth Whitener and Breath Fre,Beauty & Personal Care › Oral Care › Teeth Whitening,buy a two pack of whitening toothpaste,['teeth whitening'],[],1
B08JK6X5W2,grocery,toothpicks,Hongkai 24PCS Child Pirate Themed Cake Decorated Sailing Boat With Tag Cake Toppers Cupcake Kids Happy Birthday Gender Reveal Baby Shower Party Decorations Supplies,"Grocery & Gourmet Food › Pantry Staples › Cooking & Baking › Frosting, Icing & Decorations › Cake Toppers",i am looking for a cake topper for a baby shower. also choose easy to use,"['easy use', 'baby shower']",[],1
B078YYVN2F,fashion,men's polos,Oakley Men's Color Block take Polo,"Clothing, Shoes & Jewelry › Men › Clothing › Active › Active Shirts & Tees › Polos",i am looking for large size regular fit polo,['regular fit'],['large'],1
B005S4J2OS,grocery,"dairy, cheese & eggs","Gourmet Fries Seasonings Bottle, Cheesy Cheddar, 9 Ounce","Grocery & Gourmet Food › Pantry Staples › Herbs, Spices & Seasonings › Mixed Spices & Seasonings › Meat Seasoning",i want a ready to eat 9 ounce pack of fries seasoning bottle. it should be low in calories,"['low calorie', 'ready eat']",['9 ounce (pack of 1)'],1
B09LRY6H41,grocery,beverages,"COCO CONGA Juice + Coconut Gel Drink, Sweet and Refreshing W/ Chewable Coconut Gel added, 16.9 FL.OZ (COCO MELON, 20 PACK)","Grocery & Gourmet Food › Beverages › Bottled Beverages, Water & Drink Mixes › Juices › Fruit Juice",i am looking for a real fruit coconut and pineapple drink,['real fruit'],['coco pineapple'],1
B09KCR46RV,electronics,headphones,"Bluetooth 5.0 Wireless Earbuds Headphones, IPX5 Waterproof, 24H Charging Case, 3D Stereo Noise Cancelling Earbuds, for Android/Samsung/Apple iPhone",Electronics › Headphones › Earbud Headphones,i'm looking for stereo headphones it will use for outside noise cancelling,"['noise cancelling', 'stereo sound']",[],1
B093GNXNX4,grocery,toothpicks,Ercadio 48 Pack It's a Girl Cupcake Toppers Glitter Moon Star Sweet Baby Cupcake Picks Baby Shower Girls Birthday Gender Reveal Party Cake Decorations Supplies Gold,"Grocery & Gourmet Food › Pantry Staples › Cooking & Baking › Frosting, Icing & Decorations › Cupcake Toppers",i am looking for cupcake toppers for baby shower birthday party. please choose pink color,"['baby shower', 'birthday party']",['pink'],1
B08W4HYRF1,beauty,makeup palettes,Hot Sugar Mixed Beauty Makeup Kit Cosmetic Set All in One Train Case Matte Shimmer Eyeshadow Palette Blushes Lipstick Stylish Jewelry Box Birthday Gifts for Teenager Girls Women (Clear),Beauty & Personal Care › Makeup › Makeup Palettes,i'm looking for make up for eye shadow to skin care products,['eye shadow'],[],1
B08THK9ZSB,beauty,salon & spa equipment,"Vintage Barber Chairs Spa Beauty Equipment, Tattoo Chair Barber Chairs for Beauty Salon, Lift Rotating Barber Chair Fashion Barber Shop Hair Salon, Max Load Weight 400 Lbs (Color : A)",Beauty & Personal Care › Salon & Spa Equipment › Professional Massage Equipment › Salon & Spa Chairs,i need vintage beauty salon chairs,['beauty salon'],['a'],1
B06XSGZKC7,grocery,non-dairy milks,"Organic Cacao Powder, 8 Ounces - Certified, Non-GMO, Kosher, Raw, Unsweetened, Sirtfood, Bulk","Grocery & Gourmet Food › Pantry Staples › Cooking & Baking › Baking Chocolates, Carob & Cocoa › Cocoa",i'm looking for certifies organic groceries the flavor was cacao bits,['certified organic'],['cacao nibs'],1
B07NB7XWLW,beauty,scalp treatments,"Luseta Tea Tree Oil Shampoo 33.8oz- Natural Anti Dandruff Treatment for Dry and Damaged Hair, Sulfate Free & Safe for Color Treated Hair",Beauty & Personal Care › Hair Care › Shampoo & Conditioner › Shampoos,i want luseta tea tree oil shampoo,['tea tree'],['shampoo'],1
B095BLCKJF,beauty,skin care tools,"CDFVF Gua Sha Massage Tool,Facial Tools,Natural Jade Gua Sha StoneJade Roller Beauty Accessories for Women Body Eyes Neck Massager Skin Care Face Sculpting Tool Board Massager for Slimming & Firming",Beauty & Personal Care › Skin Care › Face › Sets & Kits,i want a m color face kit that is easy to use,['easy use'],['m'],1
B09MCWS928,beauty,makeup remover,"Ehinew Powder Puff, Lazy Cosmetic Puff, Double-Sided Face Wash Sponge Washable Makeup Remover Puff, Makeup Puff, for Loose Powder Mineral Powder Body Powder Makeup Tool",Beauty & Personal Care › Tools & Accessories › Makeup Brushes & Tools › Face › Blenders & Sponges,i need double-sided face wash sponge ( 4 color),['double sided'],['04'],1
B09M3QJRXQ,garden,beds,"Twin Daybed with Trundle Bed, Twin Size Upholstered Daybed with Wood Slat Support, Upholstered Tufted Sofa Bed, No Box Spring Needed (Twin, Beige)","Home & Kitchen › Furniture › Bedroom Furniture › Beds, Frames & Bases › Beds",i want a beige with trundle twin bed with a wood frame,"['twin size', 'wood frame']",[],1
B098NCCPPC,garden,cabinets,"MELUCEE 6-Light Black Vanity Light Brushed Nickel Finish Socket Bathroom Lighting with Clear Glass Shade, Modern Wall Light Fixtures for Bathroom Dressing Table Bedroom Vanity Table Kitchen Cabinets",Tools & Home Improvement › Lighting & Ceiling Fans › Wall Lights › Vanity Lights,"i am looking for a clear glass shade, vanity light with black and brushed nickel finish","['glass shade', 'nickel finish', 'brushed nickel', 'vanity light', 'clear glass']",['black and brushed nickel'],1
B085Y271VD,fashion,men's outdoor shoes,Mens Closed Toe Casual Home Leather Sandals Leather Beach Slipper Shoes Outdoor Sandals Fisherman Shoes,"Clothing, Shoes & Jewelry › Men › Shoes › Sandals",i would like a pair of size 8 brown sandals with a rubber sole,['rubber sole'],"['brown-2', '8']",1
B0849Q9GPL,grocery,milks & creams,"Califia Farms - Oat Milk Creamer, Vanilla 25.4 Oz | Dairy Free | Gluten-Free | Vegan | Plant Based | Non-GMO | Low Sugar","Grocery & Gourmet Food › Beverages › Coffee, Tea & Cocoa › Non-Dairy Coffee Creamers",i'm looking for a oat milk creamer by califia farms ,"['plant based', 'non gmo', 'non dairy', 'low sugar', 'gluten free']",[],1
B09NLXNYKZ,beauty,makeup palettes,18 Colors Makeup Naked Eyeshadow Palette Natural Nude Matte Shimmer Glitter Pigment Eye Shadow Pallete Set,Beauty & Personal Care › Makeup › Eyes › Eyeshadow,i am searching for 3 colors makeup naked long lasting eye shadow,"['long lasting', 'eye shadow']",['03'],1
B08CDP994X,grocery,non-dairy milks,"Kiss My Keto Granola Cereals Breakfast - Salted Caramel | Low Carb Granola (2g-Net) with Coconut Oil | Grain Free Granola Fiber Cereal, Keto Friendly Food | Low Sugar (1g), Non-GMO, Soy & Gluten Free",Grocery & Gourmet Food › Breakfast Foods › Cereals › Granola,i'm looking for keto friendly it has low sugar its good for health,"['grain free', 'low sugar', 'gluten free', 'soy free', 'keto friendly', 'dairy free']","['coconut, almond & pecan']",1
B09QKFB7LL,electronics,bluetooth speakers,"Radio Alarm Clock, Bluetooth Speaker with Mic, LED Display & Full Dimmer, Hands-Free Calling, Wireless Speaker Subwoofer Music Player Support Bluetooth",Electronics › Portable Audio & Video › Portable Speakers & Docks › Portable Bluetooth Speakers,i am looking for a black color radio alarm clock having stereo sound and hands free,"['hands free', 'stereo sound']",['black'],1
B07WHYSQ5W,electronics,signal boosters,"TV Amplifier Signal Booster, TechCode Professional 80 Miles Signal Amplifier HD Digital TV Antenna 25dB Support 4K 1080p TV Home High Power HD TV Amplifier Signal Booster TV Adapter (SYC-Black)",Electronics › Accessories & Supplies › Audio & Video Accessories › Antennas › TV Antennas,i'm looking for a 80 miles signal amplifier booster for hd tv,['high power'],['xh-black'],1
B084LPGQ46,grocery,snack cakes & pastries,"TORTUGA Kentucky Bourbon Butter Cake w/Walnuts - 32oz Cake - The Perfect Premium Gourmet Gift for Stocking Stuffers, Gift Baskets, and Christmas Gifts - Great Cakes for Delivery",Grocery & Gourmet Food › Snacks & Sweets › Snack Foods › Snack Cakes & Pastries › Snack Cakes,i'm looking for a fresh baked snack cakes made with good quality ingredients. also choose pack of 1 with weight 4 ounce one,"['baked fresh', 'quality ingredients']",['4 ounce (pack of 1)'],1
B078Z6T13T,fashion,men's pants,"HARD LAND Mens Tactical Pants Ripstop,14 Pockets,Waterproof Gusseted Work Cargo Pants","Clothing, Shoes & Jewelry › Men › Uniforms, Work & Safety › Clothing › Military › Pants",i am looking for a cargo pant made up of polyester cotton which is washable in machine. also choose coyote brown color and 36w x 32l size,"['machine wash', 'polyester cotton']","['coyote brown', '36w x 32l']",1
B09QHRCF6M,beauty,salon & spa equipment,"GGHHJ 1pcs Bedskirt Beauty Salon Massage Table Bed Sheet Bedspread Massage Table Sheet Sets,Ultra Soft Spa Beauty Bed Cover,Bed Skirt,Solid Color Salon Spa Profession Massage",Beauty & Personal Care › Salon & Spa Equipment › Professional Massage Equipment › Linens,i wuold like a purple 190 by 70cm round head linens for my beauty salon,['beauty salon'],"['purple', '190*70cm round head']",1
B00ME8CKBS,electronics,boomboxes & portable radios,"UpBright New AC/DC Adapter for Klipsch KMC-1 KMC1 KMC 1 One Music Center Wireless Bluetooth Portable Boombox Speaker System, DYS40-120300W-K DYS40-120300-12904 DYS Switching Power Supply Charger",Electronics › Power Accessories › AC Adapters,search for an ac adapter with output protection,['output protection'],[],1
B09C91R8Q8,fashion,women's flats,RQWEIN Flat Shoes Women Pointed Toe Shoes for Women Women’s Flats Women Pumps Pointed Toe Flats Slip on Shoes Ballet Flats,"Clothing, Shoes & Jewelry › Women › Shoes › Flats",i am looking for 8 size flats with leather sole for women,['leather sole'],['8'],1
B07NKC79K5,electronics,signal boosters,FitPow AC/DC Adapter for zBoost zBOOST YX545 YX545X YX645 SOHO Xtreme Dual Band Cell Phone Signal Booster Power Supply Cord Cable PS Wall Home Charger Mains PSU,Electronics › Power Accessories › AC Adapters,i am looking for a dual band ac/dc adapter for a zboost,['dual band'],[],1
B08GY9D56X,garden,area rugs,"nuLOOM Vasiliki Moroccan Shaggy With Tassels Area Rug, 9' x 12', White","Home & Kitchen › Home Décor Products › Rugs, Pads & Protectors › Area Rugs",i am looking for rectangular shape shaggy with tassels rug for a living room,['living room'],['rectangular'],1
B08RS11SB6,electronics,wearable technology,"Valkit Compatible with Galaxy Watch 3 41mm/Galaxy Watch 4 Band, 20mm Metal Mesh Bracelets for Women Men Replacement Wristband for Samsung Galaxy Watch 4 Classic/Galaxy Watch 42mm/Active 2",Cell Phones & Accessories › Accessories › Smartwatch Accessories › Smartwatch Bands,i am looking for a 41mm | 42mm smartwatch bands which is easy install,['easy install'],['41mm | 42mm'],1
B07ZXFTJ67,grocery,meat & seafood,"Meat And Cheese Gift Baskets - With Meat Cheese Crackers Sparkling Cider - Perfect Date Night Ideas, Gift Basket For Men, Birthday, Thank You, Family (Tomato & Basil)",Grocery & Gourmet Food › Food & Beverage Gifts › Meat & Seafood Gifts,i want spicy beef meat and cheese gift baskets,['gift basket'],['spicy beef'],1
B09PG34T51,beauty,salon & spa equipment,Beauty salon wall decoration Hair Salon Decor Spa Room Decor Nail Salon Poster Massage Decor Esthetician Decor Facial Massage Art 12x18 inch Framed Canvas Wall Art,"Beauty & Personal Care › Foot, Hand & Nail Care › Nail Art & Polish › Nail Art Accessories › Nail Art Equipment",i want white wall decoration for my beauty salon,['beauty salon'],['white 4'],1
B08P3HZZ7Z,fashion,men's underwear,Custom Faces Print Boxer Briefs for Men Hug Black Design Photo Underwear Gifts,"Clothing, Shoes & Jewelry › Men › Clothing › Underwear › Boxer Briefs","i'm looking for a unique designed, daily wear boxer briefs with elastic waistband. also choose medium size with waistband-stars flag printed one","['unique design', 'elastic waistband', 'daily wear']","['waistband-stars flag', 'medium']",1
B09NYG6X57,beauty,makeup palettes,Tthxqing Cat Paw Pattern Blush Cute Blushs Makeup Palettes 6 Colors Powder Red Rouge Lasting Natural Cream Cheek Tint Orange Peach Pink Blushs Cosmetic For Teen Girls(F),Beauty & Personal Care › Makeup › Face › Blush,i am looking for long lasting and nail polish cute blushs makecup palettes of color:c,"['long lasting', 'nail polish']",['c'],1
B01BINV9P2,electronics,iphone accessories,"Mob Armor Mount Switch - Magnetic Phone Mount for Car - Universal Cell Phone Holder for Cars, Truck, Jeep, ATV, UTV, & Other Vehicle - Compatible with iPhone & Android Cellphone - Large, Black",Cell Phones & Accessories › Accessories › Automobile Accessories › Cradles,i'm looking for a magnetic phone mount for car with aluminum alloy and small size,['aluminum alloy'],['small'],1
B01HJWARWW,electronics,signal boosters,"80ft (24.3M) High Speed HDMI Cable Male to Male with Ethernet Black (80 Feet/24.3 Meters) Built-in Signal Booster, Supports 4K 30Hz, 3D, 1080p and Audio Return CNE620527 (2 Pack)",Electronics › Accessories & Supplies › Audio & Video Accessories › Cables & Interconnects › Video Cables › HDMI Cables,"i am looking for a male to male style gold plated high speed hdmi cable. also, choose 10 feet length","['high speed', 'gold plated']","['10 feet (10-pack)', 'hdmi male to male']",1
B09MK1L322,electronics,pc,Dell Vostro 3000 3681 Premium Small Business Desktop Computer I 10th Gen Intel 6-Core i5-10400 (> i7-7700) I 8GB DDR4 1TB HDD I Intel UHD Graphics 630 I Keybord&Mouse WiFi Win10 Pro Black,Electronics › Computers & Accessories › Computers & Tablets › Desktops › Towers,i would like a 32 gigabyte desktop computer with a intel core,['intel core'],['32gb ddr4 i 1tb ssd i 1tb hdd'],1
B07QH7TX43,grocery,granola & nutrition bars,"Natierra Organic Dried Mango Cheeks, No Sugar Added, Non-GMO & Vegan, 8 Ounce",Grocery & Gourmet Food › Produce › Dried Fruits & Vegetables › Dried Fruits,i want a bundle of non gmo natierra organic dried mango cheeks,['non gmo'],['bundle'],1
